id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
139374,11811,.hack//frägment,NULL,2005-11-23 00:00:00.000,4,NULL,NULL,NULL,NULL,NULL
70326,207221,¡Lucha Caliente!,NULL,2004-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122766,97356,10 Pin: Champions Alley,NULL,2005-05-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101770,14727,"10,000 Bullets",NULL,2005-02-24 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
79601,83913,1000 Words,NULL,2004-10-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
119841,69821,1213: Episode 1,NULL,2005-12-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
133219,37046,18 Wheels of Steel: Pedal to the Metal,NULL,2004-08-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
46072,76205,1848,NULL,2005-05-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174783,3978,187 Ride or Die,NULL,2005-08-23 00:00:00.000,1,NULL,47.5000,5,NULL,NULL
16939,61500,1945 I & II: The Arcade Games,NULL,2004-07-16 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
52279,222122,2 Fast 2 Furious,NULL,2004-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70547,78697,"2 Games In 1 Double Pack: Finding Nemo + Monsters, Inc.",NULL,2004-11-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74652,86044,2 Games in 1 Double Pack: Power Rangers Ninja Storm + Power Rangers Time Force,NULL,2004-10-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
136433,77825,2 Games In 1: Cartoon Network Block Party & Cartoon Network Speedway,NULL,2005-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44583,86045,2 Games in 1: Disney Princess + Disney's The Lion King,NULL,2004-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128422,79840,2 Games In 1: Disney's Brother Bear + Disney Princess,NULL,2005-05-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80335,86053,2 Games in 1: Sonic Advance + ChuChu Rocket!,NULL,2005-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118703,74882,2 Games in 1: Sonic Advance + Sonic Battle,NULL,2005-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115662,79839,2 Games in 1: Sonic Pinball Party + Sonic Battle,NULL,2005-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62628,80023,2 In 1 Game Pack: Spider-Man + Spider-Man 2,NULL,2005-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34332,80112,2 in 1 Game Pack: Spider-Man: Mysterio's Menace + X2: Wolverine's Revenge,NULL,2005-08-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177570,82102,2 In 1: Asterix & Obelix: Bash Them All! + Asterix & Obelix XXL,NULL,2005-06-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25335,84266,2 in 1: V-Rally 3 + Stuntman,NULL,2005-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
153198,82103,2 jeux en 1: Titeuf: Ze Gag Machine + Titeuf: Méga compet',NULL,2005-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
